W1,POS1,RELATION,W2,POS2,PRIORITY
小胖,n,CapableOf,跳舞,v,
小胖,n,CapableOf,爱吃,v,
员工,n,CapableOf,出差,v,
妈妈,n,CapableOf,照顾孩子,v,
父母,n,CapableOf,照顾孩子,v,
家长,n,CapableOf,照顾孩子,v,
仆人,n,CapableOf,服务,v,
客服,n,CapableOf,服务,v,
马区长,n,CapableOf,服务,v,
手机,n,CapableOf,接电话,n,
工读,v,CapableOf,接电话,n,
秘书,n,CapableOf,接电话,n,
接电话,n,CapableOf,聊天,n,
接电话,n,CapableOf,回答问卷,v,
银行,n,CapableOf,存钱,v,
机器人,n,CapableOf,打扫,v,
机器人,n,CapableOf,煮饭,v,
机器人,n,CapableOf,扫地,n,
机器人,n,CapableOf,动,v,
机器人,n,CapableOf,看家,v,
机器人,n,CapableOf,很多,n,
机器人,n,CapableOf,当工具人,v,
机器人,n,CapableOf,做家事,v,
机器人,n,CapableOf,杀人,n,
机器人,n,CapableOf,计算,v,
机器人,n,CapableOf,洗衣,n,
机器人,n,CapableOf,说话,v,
机器人,n,CapableOf,移动,v,
闹钟,n,CapableOf,要电池,v,
雨衣,n,CapableOf,防水,v,
狗,n,CapableOf,散步,n,
小狗,n,CapableOf,散步,n,
猫,n,CapableOf,散步,n,
老人,n,CapableOf,散步,n,
狗狗,n,CapableOf,散步,n,
宠物,n,CapableOf,散步,n,
狗狗,n,CapableOf,看家,v,
狗狗,n,CapableOf,睡觉,v,
狗狗,n,CapableOf,叫,v,
狗狗,n,CapableOf,吃饭,v,
狗狗,n,CapableOf,看门,v,
狗狗,n,CapableOf,汪汪叫,n,
狗狗,n,CapableOf,撒娇,v,
狗狗,n,CapableOf,大便,v,
狗狗,n,CapableOf,吃东西,v,
狗狗,n,CapableOf,尿尿,n,
狗狗,n,CapableOf,咬人,v,
狗狗,n,CapableOf,吃饲料,v,
亲戚,n,CapableOf,打招呼,v,
亲戚,n,CapableOf,吵,v,
亲戚,n,CapableOf,寒暄问暖,v,
亲戚,n,CapableOf,烦,v,
朋友,n,CapableOf,聊天,n,
朋友,n,CapableOf,逛街,v,
朋友,n,CapableOf,吃饭,v,
朋友,n,CapableOf,安慰你,v,
大便时,a,CapableOf,玩手机,v,
上厕所时,a,CapableOf,玩手机,v,
闹钟,n,CapableOf,提醒,v,
妈妈,n,CapableOf,教育孩子,v,
爸爸,n,CapableOf,教育孩子,v,
老师,n,CapableOf,哄小孩,v,
妈妈,n,CapableOf,哄小孩,v,
电脑,n,CapableOf,听音乐,v,
监视,v,CapableOf,跟拍,v,
监视,v,CapableOf,跟监,v,
监视,v,CapableOf,收集资讯,v,
监视,v,CapableOf,窃听,v,
去牛排店,v,CapableOf,点餐,v,
分手,v,Causes,难过,v,
看电影,v,Causes,开心,v,
淋雨,n,Causes,感冒,v,
运动,v,Causes,喝水,v,
运动,v,Causes,受伤,v,
钱,n,Causes,快乐,a,
健康,a,Causes,快乐,a,
广告,n,Causes,商机,n,
广告,n,Causes,有产品,v,
女人,n,Causes,孩子,n,
怀孕,v,Causes,孩子,n,
做爱,v,Causes,孩子,n,
太冲动,v,Causes,孩子,n,
睡觉,v,Causes,休息,v,
累,a,Causes,休息,v,
累了,v,Causes,休息,v,
生病,n,Causes,休息,v,
与朋友要联络,v,Causes,买手机,n,
想聊天,v,Causes,买手机,n,
上学,n,Causes,通勤,v,
晚上,n,Causes,睡觉,v,
晚上,n,Causes,想睡觉,v,
睡觉,v,Causes,有精神,v,
睡觉,v,Causes,作梦,n,
睡觉,v,Causes,打呼,v,
上补习班,v,Causes,考试,v,
肚子饿,n,Causes,吃饭,v,
吃饭,v,Causes,开心,v,
吃饭,v,Causes,快乐,a,
吃饭,v,Causes,饱,a,
吃饭,v,Causes,满足,v,
工作,v,Causes,加班,v,
加班,v,Causes,疲累,a,
加班,v,Causes,生气,n,
加班,v,Causes,很累,v,
到家,v,Causes,上床,v,
出去玩,n,Causes,开心,v,
出去玩,n,Causes,快乐,a,
无聊,a,Causes,出去玩,n,
出去玩,n,Causes,兴奋,v,
开心,v,Causes,出去玩,n,
节日,n,Causes,开心,v,
节日,n,Causes,花钱,n,
节日,n,Causes,快乐,a,
开车,v,Causes,车祸,n,
想念,v,Causes,打电话,n,
想你,v,Causes,打电话,n,
电视,n,Causes,近视,v,
小夜灯,n,Causes,光源,n,
唱歌,n,Causes,快乐,a,
唱歌,n,Causes,开心,v,
开心,v,Causes,唱歌,n,
快乐,a,Causes,唱歌,n,
聊天,n,Causes,互动,v,
人,n,Causes,互动,v,
游戏,n,Causes,互动,v,
讲故事,n,Causes,睡著,v,
话当年,v,Causes,讲故事,n,
去育幼院帮忙,v,Causes,讲故事,n,
晚上,n,Causes,讲故事,n,
兴致来,v,Causes,讲故事,n,
有小孩,v,Causes,讲故事,n,
睡前,v,Causes,讲故事,n,
哄小孩睡觉,v,Causes,讲故事,n,
鬼月,n,Causes,讲故事,n,
看电视,v,Causes,开心,v,
无聊,a,Causes,看电视,v,
看电视,v,Causes,快乐,a,
看电视,v,Causes,近视,v,
看电视,v,Causes,大笑,v,
看电视,v,Causes,高兴,n,
信用卡,n,Causes,优惠,v,
杀价,v,Causes,优惠,v,
优惠,v,Causes,想去别家餐厅,v,
早起,v,Causes,健康,a,
早起,v,Causes,上学不迟到,v,
早起,v,Causes,身体好,a,
早起,v,Causes,好心情,n,
早起,v,Causes,很累,v,
计时中,a,Causes,看手表,v,
赶时间,v,Causes,看手表,v,
想知道几点,n,Causes,看手表,v,
不知道时间,v,Causes,看手表,v,
想回家,v,Causes,看手表,v,
玩乐,n,Causes,开心,v,
玩乐,n,Causes,快乐,a,
玩乐,n,Causes,高兴,n,
玩乐,n,Causes,疲劳,a,
开心,v,Causes,玩乐,n,
新台币,n,Causes,产品,n,
故事,n,Causes,想睡,v,
故事,n,Causes,感想,v,
自杀,v,Causes,问题,n,
金钱,n,Causes,问题,n,
结婚,v,Causes,问题,n,
车票,n,Causes,问题,n,
问题,n,Causes,麻烦,a,
工作,v,Causes,疲劳,a,
工作,v,Causes,财富,n,
工作,v,Causes,金钱,n,
工作,v,Causes,钱,n,
工作,v,Causes,钱财,n,
工作,v,Causes,赚钱,v,
工作,v,Causes,有钱,v,
工作,v,Causes,累,a,
工作,v,Causes,快乐,a,
年龄,n,Causes,倒阳,v,
家电,v,Causes,方便,a,
小米,n,Causes,大米,n,
小米,n,Causes,淀粉,n,
生意,v,Causes,收益,n,
和朋友一起,v,Causes,开心,v,
和朋友一起,v,Causes,快乐,a,
写作业,v,Causes,想睡,v,
上学,n,Causes,写作业,v,
写作业,v,Causes,想睡觉,v,
友情,n,Causes,合作,v,
回家,n,Causes,洗澡,v,
回家,n,Causes,睡觉,v,
回家,n,Causes,看电视,v,
在上班,v,Causes,打卡,v,
发呆,v,Causes,充电,v,
学习,v,Causes,聪明,a,
学习,v,Causes,知识,v,
学习,v,Causes,财富,n,
读书,n,Causes,学习,v,
学习,v,Causes,智慧,n,
忙,v,Causes,累,a,
忙,v,Causes,烦,v,
忙,v,Causes,遗忘,v,
忙,v,Causes,喝水,v,
忙,v,Causes,忘记吃饭,v,
声音,n,Causes,噪音,n,
声音,n,Causes,音乐,n,
声音,n,Causes,共鸣,v,
声音,n,Causes,唱歌,n,
声音,n,Causes,烦躁,a,
声音,n,Causes,崩溃,v,
声音,n,Causes,罚单,n,
声音,n,Causes,讨厌,v,
车子,n,Causes,方便,a,
电脑,n,Causes,方便,a,
机车,n,Causes,方便,a,
高铁,n,Causes,方便,a,
骑车,n,Causes,方便,a,
卫生纸,n,Causes,方便,a,
手机,n,Causes,方便,a,
方便,a,Causes,坐捷运,v,
金钱,n,Causes,消费,v,
养宠物,v,Causes,消费,v,
买乐透,v,Causes,消费,v,
逛街,v,Causes,消费,v,
硬,a,Causes,软,a,
西斯,n,Causes,硬,a,
美女,n,Causes,硬,a,
近视,v,Causes,不方便,a,
下雨,v,Causes,不方便,a,
手机坏了,v,Causes,不方便,a,
长短脚,n,Causes,不方便,a,
手痛,n,Causes,不方便,a,
月经,n,Causes,不方便,a,
吃素,n,Causes,不方便,a,
大雨,n,Causes,不方便,a,
生病,n,Causes,不方便,a,
不方便,a,Causes,失约,v,
便宜,a,Causes,效能不好,v,
木马,n,Causes,当机,v,
木马,n,Causes,资料外洩,v,
木马,n,Causes,防毒警示,v,
作业,n,Causes,头痛,n,
老师,n,Causes,作业,n,
作业,n,Causes,烦恼,a,
作业,n,Causes,写字,n,
养宠物,v,Causes,麻烦,a,
杀人,n,Causes,麻烦,a,
,,Causes,麻烦,a,
打架,v,Causes,麻烦,a,
财富,n,Causes,麻烦,a,
作弊,n,Causes,麻烦,a,
生病,n,Causes,麻烦,a,
赌博,v,Causes,麻烦,a,
工作,v,Causes,麻烦,a,
女人,n,Causes,麻烦,a,
偷窃,v,Causes,麻烦,a,
乱说话,n,Causes,麻烦,a,
恋爱,v,Causes,麻烦,a,
马子,n,Causes,麻烦,a,
在上班,v,Causes,出差,v,
买车,n,Causes,开车,v,
中乐透,n,Causes,买车,n,
不祥的,a,Causes,麻烦事,n,
官员,n,Causes,服务,v,
高兴,n,Causes,服务,v,
铃响,n,Causes,接电话,n,
电话响,n,Causes,接电话,n,
钱,n,Causes,名牌,n,
钱财,n,Causes,名牌,n,
名牌,n,Causes,招迷,v,
名牌,n,Causes,疯狂,a,
网购,n,Causes,付钱,v,
上网,v,Causes,网购,n,
网购,n,Causes,上网,v,
综艺节目,n,Causes,大笑,v,
综艺节目,n,Causes,开心,v,
综艺节目,n,Causes,大校,n,
综艺节目,n,Causes,搞笑,v,
综艺节目,n,Causes,哈哈大笑,n,
游戏,n,Causes,活泼,a,
游戏,n,Causes,放松,v,
游戏,n,Causes,开心,v,
看书,v,Causes,充实自己,v,
充实自己,v,Causes,念书,n,
散步,n,Causes,快乐,a,
吃饭,v,Causes,散步,n,
运动,v,Causes,健康,a,
运动,v,Causes,流汗,n,
运动,v,Causes,肚子饿,n,
运动,v,Causes,快乐,a,
运动,v,Causes,变瘦,v,
运动,v,Causes,累,a,
运动,v,Causes,口渴,n,
运动,v,Causes,强壮,a,
运动,v,Causes,减肥,v,
亲戚,n,Causes,打麻将,n,
亲戚,n,Causes,幸福,a,
朋友,n,Causes,快乐,a,
朋友,n,Causes,开心,v,
朋友,n,Causes,幸福,a,
工作,v,Causes,朋友,n,
玩手机,v,Causes,开心,v,
玩手机,v,Causes,快乐,a,
烦,v,Causes,玩手机,v,
闷,v,Causes,玩手机,v,
网站,n,Causes,增长知识,v,
挖矿,n,Causes,金钱,n,
问问题,n,Causes,回答问题,v,
问问题,n,Causes,变聪明,v,
问问题,n,Causes,答案,n,
问问题,n,Causes,被无视,v,
问问题,n,Causes,有答案,v,
听音乐,v,Causes,快乐,a,
听音乐,v,Causes,开心,v,
听音乐,v,Causes,放松,v,
听歌,v,Causes,快乐,a,
听歌,v,Causes,开心,v,
无聊,a,Causes,听歌,v,
听歌,v,Causes,想唱歌,v,
听歌,v,Causes,唱歌,n,
听歌,v,Causes,跟著唱,v,
漂亮衣服,n,CausesDesire,买,v,
手机,n,CausesDesire,买,v,
生病,n,CausesDesire,休息,v,
通勤,v,CausesDesire,累,a,
晚上,n,CausesDesire,睡觉,v,
上课,v,CausesDesire,睡觉,v,
无聊,a,CausesDesire,睡觉,v,
上夜班,v,CausesDesire,睡觉,v,
周末,n,CausesDesire,看电视,v,
肚子饿,n,CausesDesire,吃饭,v,
加班,v,CausesDesire,睡觉,v,
无聊,a,CausesDesire,出去玩,n,
放假,v,CausesDesire,出去玩,n,
心情好,a,CausesDesire,出去玩,n,
天气好,a,CausesDesire,出去玩,n,
过年,n,CausesDesire,回老家,n,
节日,n,CausesDesire,吃饭,v,
节日,n,CausesDesire,吃火锅,n,
无聊,a,CausesDesire,打电话,n,
开心,v,CausesDesire,唱歌,n,
心情好,a,CausesDesire,唱歌,n,
快乐,a,CausesDesire,唱歌,n,
无聊,a,CausesDesire,看电视,v,
看电视,v,CausesDesire,睡觉,v,
早起,v,CausesDesire,睡觉,v,
故事,n,CausesDesire,大笑,v,
和朋友一起,v,CausesDesire,打棒球,v,
写作业,v,CausesDesire,睡觉,v,
下雨,v,CausesDesire,回家,n,
天黑,n,CausesDesire,回家,n,
看影片,v,CausesDesire,声音,n,
吹风机,n,CausesDesire,吹头发,n,
吹风机,n,CausesDesire,洗头,v,
吹风机,n,CausesDesire,取暖,v,
吹风机,n,CausesDesire,洗头发,n,
吹风机,n,CausesDesire,吹风,v,
小胖,n,CausesDesire,减肥,v,
中乐透,n,CausesDesire,买车,n,
看到老太太,v,CausesDesire,服务,v,
电话响,n,CausesDesire,接电话,n,
上网,v,CausesDesire,网购,n,
无聊,a,CausesDesire,散步,n,
吃饱饭,v,CausesDesire,散步,n,
买到假货,v,CausesDesire,生气,n,
电脑,n,CausesDesire,使用,v,
坐捷运,v,CausesDesire,玩手机,v,
新手,n,CausesDesire,提醒,v,
上课,v,CausesDesire,问问题,n,
听音乐,v,CausesDesire,睡觉,v,
无聊,a,CausesDesire,听音乐,v,
听音乐,v,CausesDesire,跳舞,v,
听歌,v,CausesDesire,唱歌,n,
无聊,a,CausesDesire,听歌,v,
音色,n,DerivedFrom,音,n,
音箱,n,DerivedFrom,音,n,
老板,n,Desires,广告,n,
乡民,n,Desires,看资讯,v,
妈妈,n,Desires,孩子,n,
孩子,n,Desires,吃饭,v,
父母,n,Desires,孩子,n,
孩子,n,Desires,玩,v,
女人,n,Desires,孩子,n,
孩子,n,Desires,玩具,n,
老师,n,Desires,休息,v,
妈妈,n,Desires,休息,v,
人,n,Desires,买手机,n,
青少年,n,Desires,买手机,n,
晚上,n,Desires,睡觉,v,
晚上,n,Desires,吃饭,v,
周末,n,Desires,出去玩,n,
老板,n,Desires,加班,v,
加班,v,Desires,加薪,n,
小孩,n,Desires,出去玩,n,
放假,v,Desires,出去玩,n,
学生,n,Desires,出去玩,n,
爸爸,n,Desires,妈妈,n,
妈妈,n,Desires,爸爸,n,
爸爸,n,Desires,吃饭,v,
爸爸,n,Desires,赚钱,v,
爸爸,n,Desires,睡觉,v,
爸爸,n,Desires,儿子,n,
爸爸,n,Desires,看电视,v,
爸爸,n,Desires,女儿,n,
小孩,n,Desires,爸爸,n,
鸟,n,Desires,早起,v,
父母,n,Desires,小孩,n,
父母,n,Desires,钱,n,
父母,n,Desires,乖小孩,n,
小孩,n,Desires,父母,n,
父母,n,Desires,孩子,n,
学生,n,Desires,玩乐,n,
小孩,n,Desires,玩乐,n,
人,n,Desires,玩乐,n,
小狗,n,Desires,玩乐,n,
爸爸,n,Desires,妈妈,n,
妈妈,n,Desires,爸爸,n,
妈妈,n,Desires,小孩,n,
妈妈,n,Desires,睡觉,v,
妈妈,n,Desires,休息,v,
妈妈,n,Desires,钱,n,
妈妈,n,Desires,吃饭,v,
小孩,n,Desires,妈妈,n,
小鸡,n,Desires,小米,n,
鸡,n,Desires,小米,n,
麻雀,n,Desires,小米,n,
蚂蚁,n,Desires,合作,v,
上班族,n,Desires,打卡,v,
学生,n,Desires,学习,v,
婆婆妈妈,n,Desires,消费,v,
小孩,n,Desires,玩具,n,
小朋友,n,Desires,玩具,n,
弟弟,n,Desires,玩具,n,
儿童,n,Desires,玩具,n,
爸爸,n,Desires,出差,v,
爸爸,n,Desires,买车,n,
男人,n,Desires,买车,n,
妈妈,n,Desires,照顾孩子,v,
护士,n,Desires,服务,v,
客户,n,Desires,服务,v,
女人,n,Desires,名牌,n,
正妹,n,Desires,名牌,n,
小美,n,Desires,名牌,n,
宅男,n,Desires,网购,n,
妈妈,n,Desires,网购,n,
宅女,n,Desires,网购,n,
综艺节目,n,Desires,新梗,n,
银行,n,Desires,钱,n,
男孩,n,Desires,机器人,n,
台风,n,Desires,防水,v,
小狗,n,Desires,散步,n,
狗,n,Desires,散步,n,
狗狗,n,Desires,散步,n,
宠物,n,Desires,散步,n,
狗狗,n,Desires,吃饭,v,
狗狗,n,Desires,睡觉,v,
狗狗,n,Desires,玩,v,
狗狗,n,Desires,散步,n,
新流感,n,Desires,打疫苗,v,
乡民,n,Desires,亲戚,n,
孤儿,n,Desires,亲戚,n,
朋友,n,Desires,友情,n,
人,n,Desires,朋友,n,
黑人,n,Desires,嘻哈,n,
电视剧,n,Desires,女优,n,
为人父,v,Desires,教育孩子,v,
老师,n,Desires,问问题,n,
小S,n,Desires,问问题,n,
小孩,n,Desires,听故事,v,
小杰,n,Desires,听故事,v,
人,n,HasA,外面,a,
车,n,HasA,外面,a,
狗,n,HasA,外面,a,
鬼,n,HasA,外面,a,
老板,n,HasA,公司,n,
员工,n,HasA,公司,n,
职员,n,HasA,公司,n,
同事,n,HasA,公司,n,
经理,n,HasA,公司,n,
老师,n,HasA,学校,n,
学生,n,HasA,学校,n,
校长,n,HasA,学校,n,
教室,n,HasA,学校,n,
操场,n,HasA,学校,n,
主任,n,HasA,学校,n,
同学,n,HasA,学校,n,
教官,n,HasA,学校,n,
工友,n,HasA,学校,n,
黑板,n,HasA,学校,n,
妈妈,n,HasA,家,n,
爸爸,n,HasA,家,n,
电视,n,HasA,家,n,
电视,n,HasA,家里,a,
电视,n,HasA,客厅,n,
爸爸,n,HasA,家里,a,
爸爸,n,HasA,家,n,
父母,n,HasA,家里,a,
牌子,n,HasA,滑鼠,n,
牌子,n,HasA,钱包,n,
故事,n,HasA,书中,a,
内容,n,HasA,公文封,n,
内容,n,HasA,大脑,n,
妈妈,n,HasA,家里,a,
水果,n,HasA,冰箱,n,
饮料,n,HasA,冰箱,n,
食物,n,HasA,冰箱,n,
冰块,n,HasA,冰箱,n,
蔬菜,n,HasA,冰箱,n,
冰箱,n,HasA,家里,a,
鸡蛋,n,HasA,冰箱,n,
牛奶,n,HasA,冰箱,n,
冰棒,n,HasA,冰箱,n,
冰淇淋,n,HasA,冰箱,n,
鱼,n,HasA,冰箱,n,
肉,n,HasA,冰箱,n,
品牌,n,HasA,笔,n,
颜色,n,HasA,花,v,
颜色,n,HasA,大便,v,
颜色,n,HasA,极光,n,
颜色,n,HasA,笔,n,
音响,n,HasA,房间,n,
音响,n,HasA,电脑,n,
音响,n,HasA,车子理,n,
音箱,n,HasA,电视机,n,
音箱,n,HasA,吉他,n,
声音,n,HasA,爆炸,v,
电梯,n,HasA,公寓,n,
楼梯,n,HasA,公寓,n,
水塔,n,HasA,公寓,n,
墙壁,a,HasA,公寓,n,
窗户,n,HasA,公寓,n,
房间,n,HasA,公寓,n,
无线的,a,HasA,滑鼠,n,
灯,n,HasA,图书馆,n,
玩具,n,HasA,百货公司,n,
旋转,v,HasA,木马,n,
病毒,n,HasA,木马,n,
木马,n,HasA,游乐园,n,
木马,n,HasA,公园,n,
张菲,n,HasA,综艺节目,n,
明星,n,HasA,综艺节目,n,
综艺节目,n,HasA,电视节目,n,
谐星,n,HasA,综艺节目,n,
钱,n,HasA,银行,n,
警卫,n,HasA,银行,n,
设备,v,HasA,游泳池,n,
设备,v,HasA,实验室,n,
课本,n,HasA,学校,n,
课本,n,HasA,书包,n,
亲戚,n,HasA,人,n,
亲戚,n,HasA,爸爸,n,
电视剧,n,HasA,韩国,n,
电视剧,n,HasA,电视里,a,
网站,n,HasA,网路世界,n,
